# Angles for annie_jab.mp4
# time, frame, left_elbow_deg, right_elbow_deg
16:00:00.000,      1, 10.6, 10.0
16:00:00.033,      2, 11.5, 9.6
16:00:00.067,      3, 10.6, 9.4
16:00:00.100,      4, 7.3, 8.7
16:00:00.133,      5, 0.5, 3.4
16:00:00.167,      6, 28.6, 1.0
16:00:00.200,      7, NaN, 4.0
16:00:00.233,      8, NaN, 8.5
16:00:00.267,      9, NaN, 5.9
16:00:00.300,     10, 156.8, 5.7
16:00:00.333,     11, 129.0, 5.3
16:00:00.367,     12, 39.5, 6.2
16:00:00.400,     13, 5.3, 5.4
16:00:00.433,     14, 7.5, 4.8
16:00:00.467,     15, 6.9, 3.2
16:00:00.500,     16, 8.8, 3.0
16:00:00.533,     17, 8.8, 2.8
16:00:00.567,     18, 7.8, 2.7
16:00:00.600,     19, 7.4, 2.8
16:00:00.633,     20, 8.2, 2.6
16:00:00.667,     21, 9.8, 2.3
16:00:00.700,     22, 10.9, 1.8
16:00:00.733,     23, 12.0, 1.6
16:00:00.767,     24, 15.7, 4.4
16:00:00.800,     25, 19.9, 7.3
16:00:00.832,     26, 24.5, 9.4
16:00:00.865,     27, 29.5, 11.9
16:00:00.898,     28, 27.4, 17.3
16:00:00.932,     29, 25.7, 23.2
16:00:00.965,     30, 25.6, 30.6
16:00:00.998,     31, 25.7, 39.9
16:00:01.032,     32, 26.6, 40.1
16:00:01.065,     33, 28.2, 36.3
16:00:01.098,     34, 27.2, 35.1
16:00:01.132,     35, 26.7, 34.3
16:00:01.165,     36, 24.3, 32.9
16:00:01.198,     37, 25.5, 31.0
16:00:01.232,     38, 26.4, 29.4
16:00:01.265,     39, 26.6, 29.5
16:00:01.298,     40, 28.1, 28.8
16:00:01.332,     41, 29.7, 28.7
16:00:01.365,     42, 31.9, 27.4
16:00:01.398,     43, 34.0, 28.6
16:00:01.432,     44, 35.8, 29.3
16:00:01.465,     45, 36.5, 30.6
16:00:01.498,     46, 35.9, 31.6
16:00:01.532,     47, 36.7, 33.9
16:00:01.565,     48, 37.2, 32.3
16:00:01.598,     49, 37.4, 31.9
16:00:01.632,     50, 37.8, 31.4
16:00:01.665,     51, 38.4, 29.9
16:00:01.698,     52, 39.3, 29.3
16:00:01.732,     53, 39.5, 28.2
16:00:01.765,     54, 39.2, 27.9
16:00:01.798,     55, 39.2, 28.2
16:00:01.832,     56, 39.5, 28.5
16:00:01.865,     57, 38.8, 28.3
16:00:01.898,     58, 38.1, 27.5
16:00:01.932,     59, 36.8, 28.2
16:00:01.965,     60, 35.6, 28.5
16:00:01.998,     61, 35.3, 27.1
16:00:02.032,     62, 35.8, 26.7
16:00:02.065,     63, 35.1, 26.3
16:00:02.098,     64, 35.0, 26.6
16:00:02.132,     65, 35.4, 26.9
16:00:02.165,     66, 35.2, 26.8
16:00:02.198,     67, 35.1, 26.7
16:00:02.232,     68, 35.5, 27.5
16:00:02.265,     69, 36.2, 26.6
16:00:02.298,     70, 36.8, 26.9
16:00:02.332,     71, 37.2, 26.9
16:00:02.365,     72, 37.3, 26.7
16:00:02.398,     73, 38.1, 26.5
16:00:02.432,     74, 38.2, 28.1
16:00:02.465,     75, 38.3, 28.1
16:00:02.498,     76, 38.3, 28.0
16:00:02.530,     77, 38.4, 27.9
16:00:02.563,     78, 39.0, 27.4
16:00:02.597,     79, 39.2, 28.1
16:00:02.630,     80, 39.5, 27.4
16:00:02.663,     81, 39.0, 27.5
16:00:02.697,     82, 39.2, 27.2
16:00:02.730,     83, 39.5, 26.7
16:00:02.763,     84, 31.5, 22.5
16:00:02.797,     85, 20.1, 14.9
16:00:02.830,     86, 14.5, 10.5
16:00:02.863,     87, 10.4, 6.2
16:00:02.897,     88, 9.0, 3.2
16:00:02.930,     89, 8.8, 1.1
16:00:02.963,     90, 8.8, 1.4
16:00:02.997,     91, 8.9, 0.1
16:00:03.030,     92, 8.7, 1.6
16:00:03.063,     93, NaN, 2.4
16:00:03.097,     94, 9.2, 5.0
16:00:03.130,     95, 8.5, 6.2
16:00:03.163,     96, 8.3, 7.0
16:00:03.197,     97, 8.4, 7.1
16:00:03.230,     98, 8.1, 6.2
16:00:03.263,     99, 7.9, 5.2
16:00:03.297,    100, 7.3, 3.8
16:00:03.330,    101, 4.7, 3.5
16:00:03.363,    102, NaN, 2.6
16:00:03.397,    103, 0.5, 0.4
16:00:03.430,    104, 15.5, 1.8
16:00:03.463,    105, 114.2, 4.7
16:00:03.497,    106, 142.1, 4.4
16:00:03.530,    107, 88.4, 5.5
16:00:03.563,    108, 2.4, 11.3
16:00:03.597,    109, 6.1, 21.9
16:00:03.630,    110, 1.7, 70.9
16:00:03.663,    111, 5.7, 138.6
16:00:03.697,    112, 7.3, 161.4
16:00:03.730,    113, 8.1, 68.8
16:00:03.763,    114, 6.8, 2.4
16:00:03.797,    115, 12.2, 2.7
16:00:03.830,    116, 40.2, 4.8
16:00:03.863,    117, 117.9, 8.3
16:00:03.897,    118, NaN, 7.2
16:00:03.930,    119, 142.4, 8.2
16:00:03.963,    120, 23.3, 14.4
16:00:03.997,    121, 4.6, 19.1
16:00:04.030,    122, 7.4, 88.4
16:00:04.063,    123, 3.1, 152.7
16:00:04.097,    124, 1.9, 149.3
16:00:04.130,    125, NaN, 77.5
16:00:04.162,    126, NaN, 17.5
16:00:04.195,    127, 10.6, 12.6
16:00:04.228,    128, 57.1, 17.5
16:00:04.262,    129, NaN, 20.1
16:00:04.295,    130, 174.0, 15.0
16:00:04.328,    131, 123.1, 5.6
16:00:04.362,    132, 29.0, 2.3
16:00:04.395,    133, 9.4, 2.7
16:00:04.428,    134, 4.3, 6.8
16:00:04.462,    135, 2.2, 7.2
16:00:04.495,    136, 1.0, 5.2
16:00:04.528,    137, 3.4, 3.7
16:00:04.562,    138, 6.5, 1.8
16:00:04.595,    139, 8.1, 0.4
16:00:04.628,    140, 9.7, 0.9
16:00:04.662,    141, 10.1, 0.4
16:00:04.695,    142, 10.0, 0.5
16:00:04.728,    143, 9.9, 0.1
16:00:04.762,    144, 10.0, 0.0
16:00:04.795,    145, 12.6, 0.9
16:00:04.828,    146, 14.6, 3.7
16:00:04.862,    147, 20.0, 5.2
16:00:04.895,    148, 37.6, NaN
16:00:04.928,    149, 60.4, 9.6
16:00:04.962,    150, 76.9, 11.5
16:00:04.995,    151, 96.4, 19.9
16:00:05.028,    152, 112.7, NaN
16:00:05.062,    153, 124.6, 141.6
16:00:05.095,    154, 125.0, 128.0
16:00:05.128,    155, 108.5, NaN
16:00:05.162,    156, 88.7, NaN
16:00:05.195,    157, 70.9, NaN
16:00:05.228,    158, 59.0, NaN
16:00:05.262,    159, NaN, 31.1
16:00:05.295,    160, 49.6, 25.6
16:00:05.328,    161, 41.7, NaN
16:00:05.362,    162, 39.1, 19.9
16:00:05.395,    163, 36.2, NaN
16:00:05.428,    164, 35.0, NaN
16:00:05.462,    165, 35.3, 17.6
16:00:05.495,    166, 33.3, 14.9
16:00:05.528,    167, 32.9, 13.4
16:00:05.562,    168, 33.5, NaN
16:00:05.595,    169, 33.3, NaN
16:00:05.628,    170, 31.5, NaN
